path,label,subject,mode,take,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_delta_mean_1,mfcc_delta_mean_2,mfcc_delta_mean_3,mfcc_delta_mean_4,mfcc_delta_mean_5,mfcc_delta_mean_6,mfcc_delta_mean_7,mfcc_delta_mean_8,mfcc_delta_mean_9,mfcc_delta_mean_10,mfcc_delta_mean_11,mfcc_delta_mean_12,mfcc_delta_mean_13,mfcc_delta_std_1,mfcc_delta_std_2,mfcc_delta_std_3,mfcc_delta_std_4,mfcc_delta_std_5,mfcc_delta_std_6,mfcc_delta_std_7,mfcc_delta_std_8,mfcc_delta_std_9,mfcc_delta_std_10,mfcc_delta_std_11,mfcc_delta_std_12,mfcc_delta_std_13,f0n_mean,f0n_std,f0n_max,f0n_min,f0n_median,interval_mean,interval_std,interval_max,interval_min,interval_median,interval_iqr,interval_abs_mean,interval_abs_std,interval_pos_ratio,interval_neg_ratio,contour_up_ratio,contour_down_ratio,contour_flat_ratio,voiced_ratio,voiced_prob_mean,ioi_mean,ioi_std,ioi_max,ioi_min,tempo,onsets_per_sec
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S101_whistle_2_Feeling.wav,Feeling,S101,whistle,2,-435.72662354,133.35176086,4.14011288,-4.02083969,3.03873873,22.97591972,44.98561096,26.75444603,-18.24005127,-22.32265091,-10.20793629,14.45383453,25.39410973,24.86758804,14.22523117,12.30931568,10.37022591,10.50232506,12.65150452,16.16411591,11.94290543,15.42226410,12.52670002,11.08999634,15.46691322,16.88275528,0.26137504,-0.03132406,-0.01211352,-0.01730984,-0.05458713,0.02095431,-0.02495264,0.01789255,-0.02368389,-0.02118411,-0.03275743,-0.02958434,-0.00290854,4.83714914,2.37613273,2.23090363,1.67657709,2.02662897,1.86871254,2.43202162,2.18779898,2.20808411,1.65988660,1.79654312,2.38828444,2.24415731,-0.00000000,1.00000000,0.81121230,-2.84344769,0.37508664,-0.00154278,0.30997512,2.29999995,-3.20000005,0.00000000,0.10000000,0.14992988,0.27130792,0.34081346,0.23562412,0.34081346,0.23562412,0.42356241,0.89495796,0.78521448,0.19694997,0.10578645,0.58049887,0.00000000,30.76171875,5.06727362
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S101_whistle_2_Happy.wav,Happy,S101,whistle,2,-458.24121094,136.06661987,7.80338621,0.54624897,20.25845146,31.20552254,23.78720665,1.09426391,-11.98690319,-0.19471245,7.69598532,4.90643787,-3.30882049,32.28007126,12.66401196,19.46088409,14.37438774,15.70074368,15.34619141,19.38325691,20.29168701,16.76776505,16.99217606,17.49879646,15.79540730,21.97553825,0.30187193,-0.00076221,-0.03555922,-0.02415727,-0.05914114,-0.01960755,-0.00755334,0.00991186,-0.00655347,-0.00666490,-0.00112760,0.00117742,-0.02887440,5.41360378,1.71228147,3.81358767,2.15303183,2.04178905,2.48701525,2.66374850,2.83591557,2.65325046,2.29920077,2.32980347,2.71915841,3.07389474,0.00000000,1.00000000,1.51634741,-1.90925515,0.36389205,0.06450428,0.47981361,3.79999995,-4.09999990,0.00000000,0.10000000,0.18959609,0.44546068,0.33414933,0.18727051,0.33414933,0.18727051,0.47858018,0.80317849,0.60624725,0.27933258,0.18606134,0.83591837,0.00000000,46.14257812,3.58209372
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S101_whistle_2_Necessities.wav,Necessities,S101,whistle,2,-482.30056763,147.73387146,7.34908485,3.23890543,9.95203495,16.13785934,29.01068687,20.73600388,1.73258078,-7.62645769,-8.16029167,2.76552343,8.26344490,24.48612595,12.48733425,16.81157303,10.69510937,12.53383160,16.14608765,16.48280907,18.09104729,19.06898689,12.97006416,14.01239586,18.52552223,18.34991646,0.11918532,-0.03395442,-0.02422884,0.01638244,-0.02980151,0.00954028,0.01249865,-0.00138008,0.01002715,-0.00024236,0.00334741,0.01131599,-0.02064616,4.40601826,1.99183810,2.98788667,1.64796495,1.91689205,2.06053972,2.61761141,2.49544454,2.49424410,1.94628000,2.02609253,2.82340622,2.82419491,0.00000000,1.00000000,1.68371630,-1.62304854,0.40078008,0.02571001,0.38977551,4.30000019,-3.00000000,0.00000000,0.10000000,0.16801196,0.35264421,0.30343798,0.21225710,0.30343798,0.21225710,0.48430493,0.74477613,0.57799762,0.24018140,0.17930833,0.81269842,0.00000000,198.76803589,4.18122911
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S101_whistle_2_TryEverything.wav,TryEverything,S101,whistle,2,-424.31185913,110.28377533,-4.18565655,0.82572395,24.47940063,32.86281967,14.02356625,-5.62228489,-3.10469270,5.54023075,7.20739985,10.66431618,1.69645369,31.23104477,10.24041843,19.31441307,15.64418793,13.67125511,20.64127922,23.89631462,17.99601364,25.86871910,13.76244164,21.34008217,17.73022461,20.14508629,0.05263575,0.03310433,0.01220258,0.00234637,0.00976937,0.00203271,0.01798428,0.00003676,-0.00651543,-0.00145423,-0.00854736,0.00882478,-0.00665893,6.01794100,1.63807333,3.63124561,1.86115181,2.01061368,2.51036382,2.76678729,2.31776214,2.45889020,1.79738128,1.88202798,2.14404655,2.28666592,-0.00000000,1.00000000,1.46107376,-1.86791146,0.34112278,0.02206897,0.42280981,5.00000000,-4.00000000,0.00000000,0.00000000,0.13765517,0.40038261,0.22206897,0.17379311,0.22206897,0.17379311,0.60413796,0.86501378,0.67567700,0.24415100,0.17139579,1.18421769,0.00000000,123.04687500,4.09447622
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S102_whistle_1_Happy.wav,Happy,S102,whistle,1,-360.86358643,85.69701385,-31.18745804,-4.84505939,21.38480759,42.25292587,29.78129196,18.96856308,-19.09767723,-2.78372502,5.93383884,22.85066605,8.97066212,81.73271942,22.05311775,30.44798660,15.53596020,10.58314228,13.28386211,17.76176643,10.04343224,12.93208790,12.14509583,8.04352665,11.16568947,11.57446575,0.22920720,0.11549468,-0.02874971,-0.01364055,0.00999388,0.03947937,0.04796268,0.02445314,-0.00077883,-0.02152650,0.01108749,0.03160084,0.02669766,17.01725006,3.74873400,6.56550121,2.68423319,1.81000781,1.82002091,2.67520618,1.50759327,2.30347013,2.09812140,1.33848834,1.76352751,1.80731368,-0.00000000,1.00000000,1.25878346,-2.62877584,0.28360295,-0.00970772,0.34803313,2.90000010,-1.70000005,0.00000000,0.30000001,0.20407099,0.28209278,0.25991648,0.44154489,0.25991648,0.44154489,0.29853863,0.87904066,0.64910948,0.31961584,0.13381091,0.78947848,0.00000000,161.49902344,3.10102558
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S102_whistle_1_Married.wav,Married,S102,whistle,1,-358.47958374,85.09587860,-29.28986549,4.58500576,17.88348770,42.30230713,24.77763748,14.81401920,-22.52823639,-6.80636168,4.96146584,13.46415234,8.61011600,80.76203918,30.72306442,30.41864395,15.43883896,12.86802959,13.41802406,19.08857155,10.28959560,11.36405277,11.23785210,8.98763466,10.38536549,9.56391239,0.04836177,0.05093715,0.02191210,0.01145000,0.01757844,0.02507556,0.02366228,0.01266260,0.00195542,-0.00084554,0.00286732,0.00694798,0.00556518,14.74003220,4.56049061,5.91809654,2.45128202,1.99850917,1.86037564,2.64431620,1.38135374,2.01479459,1.66898000,1.27022123,1.47345603,1.48000538,-0.00000000,1.00000000,1.59189379,-2.07860494,0.34302109,-0.01213873,0.34527788,4.50000000,-4.59999990,0.00000000,0.10000000,0.13963667,0.31601545,0.24112304,0.32369941,0.24112304,0.32369941,0.43517753,0.82178217,0.58675313,0.32851934,0.22188289,1.25387752,0.00000000,46.98153305,2.91413760
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S102_whistle_1_RememberMe.wav,RememberMe,S102,whistle,1,-394.05572510,74.50685883,-24.00910568,9.15562153,18.49793243,36.19694138,21.90904808,6.09036255,-23.87093735,-5.22820902,3.08119178,13.86636829,9.59594727,90.08497620,24.64743233,36.33604050,15.34633446,11.33432198,14.83369064,15.84160519,9.34134960,15.81023693,11.02179813,9.30553722,10.98127079,11.27987099,0.01970080,0.02322195,0.01539877,0.01238328,0.01328301,0.01268754,0.00830394,0.00349478,0.00189290,0.00204470,0.00115328,-0.00138670,-0.00385606,12.91032887,3.06439424,5.51994181,2.05135393,1.91733146,1.58480740,2.13782430,1.27126360,2.12929225,1.27133715,1.12557137,1.17518401,1.16169608,0.00000000,1.00000000,1.79520917,-1.53853118,0.53747165,-0.00223925,0.18457215,2.29999995,-1.70000005,0.00000000,0.00000000,0.07802004,0.16728647,0.15910430,0.24042428,0.15910430,0.24042428,0.60047144,0.70848054,0.58910686,0.40928361,0.40207309,2.02013612,0.00000000,161.49902344,2.33360171
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S102_whistle_1_TryEverything.wav,TryEverything,S102,whistle,1,-382.83599854,80.62150574,-23.41392899,-6.51431751,17.36642075,39.72230148,27.70013618,14.28929520,-13.12969208,-8.46364880,0.09695662,19.03608131,12.17315102,85.38739777,37.99106216,30.72584915,18.61298561,13.16604805,17.45130920,17.51778984,9.77178478,11.05696392,12.30182076,9.81509590,11.26158237,11.01812649,0.10407495,0.07009698,0.00552806,0.00837629,0.01770869,0.02084821,0.00943751,0.00344569,-0.00057767,0.00891674,0.00334023,0.00298886,-0.00006559,16.61507988,5.90122604,5.28293085,2.41286397,1.78131127,2.21216631,2.58781123,1.34645283,1.92377663,1.54604590,1.35100138,1.60151935,1.45313537,-0.00000000,1.00000000,1.73955071,-1.76637185,0.41685313,-0.00695341,0.28647223,3.70000005,-1.39999998,0.00000000,0.10000000,0.13827957,0.25098497,0.18351254,0.36702508,0.18351254,0.36702508,0.44946235,0.76934099,0.59346384,0.38748300,0.23958768,1.39319730,0.00000000,234.90766907,2.49958706
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S102_whistle_2_Friend.wav,Friend,S102,whistle,2,-403.27844238,74.38529205,-19.73334503,1.06134796,14.73680687,34.55037308,25.69794846,15.28498268,-15.63847733,-11.13471222,-0.81666559,13.88459682,10.15773582,92.84784698,32.55316162,37.20643616,16.26360512,11.39314842,13.23992729,18.06190491,9.67400932,12.31716537,12.43386936,9.22800827,10.84258747,10.99155998,0.01147308,0.01524046,0.01334548,0.01287278,0.01362997,0.01268031,0.00992376,0.00751144,0.00604705,0.00523226,0.00374801,0.00077906,-0.00144496,17.25144577,4.72224331,7.17110538,2.49442220,1.82974076,1.81425977,2.36834860,1.50077653,2.20474672,1.79167473,1.47958004,1.62100899,1.60652220,0.00000000,1.00000000,1.72628343,-1.61567008,0.45346096,-0.01433204,0.26846015,3.70000005,-1.39999998,0.00000000,0.10000000,0.12950714,0.23559323,0.15823606,0.36511025,0.15823606,0.36511025,0.47665370,0.73493195,0.52367306,0.32936266,0.22660322,1.32353747,0.00000000,57.42187500,2.90351248
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S102_whistle_2_Necessities.wav,Necessities,S102,whistle,2,-412.70208740,70.18363190,-8.41779232,10.57913685,16.10039520,35.03920746,15.24943066,17.66959572,-16.69120598,-2.60526490,-1.37577271,10.76149273,7.26485491,102.35153198,33.07427216,39.04688263,16.23973274,11.66041756,16.66398239,18.24759865,10.12703228,14.97377586,12.13057613,10.23386002,11.43362713,10.09689331,0.03753245,0.04422496,0.03193161,0.02961512,0.02991162,0.02683291,0.02009096,0.01110682,0.00623493,0.00676290,0.00665780,0.00323536,-0.00041528,20.60487747,5.47804356,8.94891262,2.75116205,1.89323187,2.48727584,2.93765330,1.82935953,2.68193531,2.21276903,2.03658438,1.95845938,1.84015787,-0.00000000,1.00000000,1.63494039,-1.15965104,0.58061039,-0.02598162,0.31437567,1.89999998,-2.00000000,0.00000000,0.10000000,0.14695071,0.27912825,0.15873016,0.25229740,0.15873016,0.25229740,0.58897245,0.58764607,0.31014204,0.31400940,0.19208883,1.04489791,0.00000000,215.33203125,3.12979245
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S102_whistle_2_NewYork.wav,NewYork,S102,whistle,2,-370.68075562,64.72636414,-36.81891251,-2.03317332,7.92639112,38.02882004,26.81973839,26.01661301,-24.25747108,-12.19130611,-2.29552245,17.69550323,12.54084682,83.33245087,21.52196503,36.51646805,16.38732910,13.75041199,11.91242409,16.60566330,10.73151684,14.20450306,11.73588467,11.03384209,11.55210400,10.08025742,0.08112438,0.09071450,0.03613777,-0.00035849,0.01858709,0.04128214,0.03064337,0.01681802,0.00367938,0.00647164,0.01985238,0.02210557,0.01609960,17.63465309,3.78915858,7.92400455,2.85305643,2.45488381,2.04803824,2.58710599,1.88591158,2.99301696,1.53850186,1.60410726,2.28377199,1.82857513,-0.00000000,1.00000000,1.93304873,-2.58889914,0.27625152,-0.03064067,0.28053349,2.09999990,-1.20000005,0.00000000,0.10000000,0.15069638,0.23859690,0.16573817,0.48607242,0.16573817,0.48607242,0.34818941,0.87760776,0.69816679,0.33503076,0.19797496,1.02167797,0.00000000,112.34714508,2.99712110
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S103_hum_1_Feeling.wav,Feeling,S103,hum,1,-412.20010376,137.59678650,31.09090805,31.38364983,18.07713318,19.59857559,4.37633657,-10.48890686,-15.51964283,5.75225830,-2.02149153,-5.01236153,-10.20941257,55.34104919,29.01710129,18.77899933,9.81504822,8.79448128,8.88472939,8.72757053,10.91479397,10.63983059,8.06881714,6.87001896,5.74484539,6.58114576,0.15078957,0.09563449,-0.00344955,0.00008935,0.00328498,0.00267270,-0.00206773,-0.00444795,-0.00491524,-0.00394462,-0.01313235,-0.00666939,-0.00467155,9.71714020,3.61366129,2.69602370,1.47459018,1.43189621,1.41258848,1.07025468,1.65678549,1.70829439,1.31260502,1.03655553,0.77835089,1.02629268,0.00000000,1.00000000,1.97807848,-3.07611823,0.10782623,-0.01113924,0.51464868,3.20000005,-4.80000019,0.00000000,0.20000000,0.25645569,0.44633824,0.32911393,0.39493671,0.32911393,0.39493671,0.27594936,0.93931735,0.45710039,0.41574776,0.29291564,1.36997736,0.09287982,234.90766907,2.34119773
